"UNITID","XGRCOHRT","GRCOHRT","XUGENTER","UGENTERN","XPGRCOHR","PGRCOHRT","XRRFTCT","RRFTCT","XRRFTEX","RRFTEX","XRRFTIN","RRFTIN","XRRFTCTA","RRFTCTA","XRET_NMF","RET_NMF","XRET_PCF","RET_PCF","XRRPTCT","RRPTCT","XRRPTEX","RRPTEX","XRRPTIN","RRPTIN","XRRPTCTA","RRPTCTA","XRET_NMP","RET_NMP","XRET_PCP","RET_PCP","XSTUFACR","STUFACR"
168607,"R",228,"R",646,"R",35,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",15
168740,"R",238,"R",436,"R",55,"R",262,"R",0,"R",0,"R",262,"R",218,"R",83,"R",8,"R",0,"R",0,"R",8,"R",4,"R",50,"R",10
168786,"R",231,"R",284,"R",81,"R",295,"R",0,"R",0,"R",295,"R",231,"R",78,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",10
168847,"R",281,"R",1271,"R",22,"R",59,"R",0,"R",0,"R",59,"R",39,"R",66,"R",29,"R",0,"R",0,"R",29,"R",5,"R",17,"R",9
169080,"R",876,"R",1102,"R",79,"R",725,"R",0,"R",0,"R",725,"R",629,"R",87,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",13
169248,"R",2188,"R",3314,"R",66,"R",2013,"R",0,"R",0,"R",2013,"R",1517,"R",75,"R",31,"R",0,"R",0,"R",31,"R",10,"R",32,"R",16
169327,"R",69,"R",259,"R",27,"R",82,"Z",0,"Z",0,"R",82,"R",54,"R",66,"R",3,"Z",0,"Z",0,"R",3,"R",0,"R",0,"R",18
169363,"R",102,"R",187,"R",55,"R",289,"Z",0,"R",0,"R",289,"R",129,"R",45,"R",1,"Z",0,"Z",0,"R",1,"R",1,"R",100,"R",21
169442,"R",244,"R",380,"R",64,"R",258,"R",0,"R",0,"R",258,"R",212,"R",82,"R",4,"R",0,"R",0,"R",4,"R",3,"R",75,"R",10
169479,"R",478,"R",1343,"R",36,"R",312,"R",0,"R",0,"R",312,"R",256,"R",82,"R",60,"R",0,"R",0,"R",60,"R",18,"R",30,"R",18
169716,"R",631,"R",1317,"R",48,"R",527,"R",0,"R",0,"R",527,"R",440,"R",83,"R",25,"R",0,"R",0,"R",25,"R",17,"R",68,"R",12
