UNITID,TotalLiabilities,EndowmentAssets
153162,33584164,100874798
190415,2556408173,10177681427
170037,7460401,17011940
235024,30908917,12824898
177117,951128,108104282
139393,2466630,64939767
176770,NA,NA
181002,418430000,782588000
475608,10747607,11611484
106810,2451579,1691754
174862,19533797,10548368
177144,10686011,41171818
219949,17834935,25924589
190512,586771487,225843190
190549,534731991,57281090
190567,1587973227,304811846
190576,372083794,108349418
190594,537799489,193943349
190600,914233006,5011315
190637,561412552,37609449
190646,367297529,653999
190655,419184123,16838796
190664,632731306,64606986
190691,281522130,2461938
165529,76915300,88484075
211893,4620861,229481718
190716,96121577,22307551
190725,34895410,26938821
219082,97709576,20848338
219091,19216291,42834214
224226,12156730,73510430
224244,2781427,474528
139463,53211078,20529474
182670,1673678483,8273315722
169479,69009067,31995490
198385,154615946,1374503853
237358,4621180,72430967
194569,148349,1482277
165574,44120804,68822856
202514,7909859,20044969
130934,415726831,37018763
211981,46152108,39468630
175616,89155985,37479615
202523,252693000,1039019000
454856,3568577,NA
499422,5497669,NA
144740,407986000,1025211000
150400,202511984,932562848
210739,59423308,105714112
113582,739783,NA
482413,NA,NA
482422,NA,NA
482459,NA,NA
482468,NA,NA
482547,NA,NA
482556,NA,NA
482574,NA,NA
482635,NA,NA
482653,NA,NA
113616,NA,NA
212009,152977891,627548242
200059,11924201,21961463
443410,28495807,NA
158802,28031108,102201663
153241,1053769,37595165
181020,51450602,102762340
148496,36240732,55388935
190761,36778736,5129431
113698,38452448,31921283
153250,22377172,74792440
153269,86036105,306208560
184348,91790000,126713000
212054,1518902000,1069294000
177214,55369843,84401980
198419,7818793000,11889994000
212106,335179000,661012000
496326,NA,NA
447421,NA,NA
230366,NA,NA
150455,88513031,416198021
198464,1323642585,320106984
207041,28304102,43474672
212115,206703700,24584919
220075,250768020,119127440
224527,27135498,75412614
144883,11516373,NA
129215,27069039,20588771
144892,91617219,73316539
421878,1822287,NA
156620,483262097,97768500
232043,21202135,46225730
169798,561290391,109425810
