UNITID,11_CTOTALT,13_CTOTALT,14_CTOTALT,23_CTOTALT,24_CTOTALT,26_CTOTALT,31_CTOTALT,42_CTOTALT,43_CTOTALT,44_CTOTALT,45_CTOTALT,50_CTOTALT,52_CTOTALT,99_CTOTALT,09_CTOTALT,51_CTOTALT,11_CTOTALM,13_CTOTALM,14_CTOTALM,23_CTOTALM,24_CTOTALM,26_CTOTALM,31_CTOTALM,42_CTOTALM,43_CTOTALM,44_CTOTALM,45_CTOTALM,50_CTOTALM,52_CTOTALM,99_CTOTALM,09_CTOTALM,51_CTOTALM,11_CASIAT,13_CASIAT,14_CASIAT,23_CASIAT,24_CASIAT,26_CASIAT,31_CASIAT,42_CASIAT,43_CASIAT,44_CASIAT,45_CASIAT,50_CASIAT,52_CASIAT,99_CASIAT,09_CASIAT,51_CASIAT,11_CWHITT,13_CWHITT,14_CWHITT,23_CWHITT,24_CWHITT,26_CWHITT,31_CWHITT,42_CWHITT,43_CWHITT,44_CWHITT,45_CWHITT,50_CWHITT,52_CWHITT,99_CWHITT,09_CWHITT,51_CWHITT,11_CNRALT,13_CNRALT,14_CNRALT,23_CNRALT,24_CNRALT,26_CNRALT,31_CNRALT,42_CNRALT,43_CNRALT,44_CNRALT,45_CNRALT,50_CNRALT,52_CNRALT,99_CNRALT,09_CNRALT,51_CNRALT,11_BLACKHISRACES,13_BLACKHISRACES,14_BLACKHISRACES,23_BLACKHISRACES,24_BLACKHISRACES,26_BLACKHISRACES,31_BLACKHISRACES,42_BLACKHISRACES,43_BLACKHISRACES,44_BLACKHISRACES,45_BLACKHISRACES,50_BLACKHISRACES,52_BLACKHISRACES,99_BLACKHISRACES,09_BLACKHISRACES,51_BLACKHISRACES,11_OTHERRACES,13_OTHERRACES,14_OTHERRACES,23_OTHERRACES,24_OTHERRACES,26_OTHERRACES,31_OTHERRACES,42_OTHERRACES,43_OTHERRACES,44_OTHERRACES,45_OTHERRACES,50_OTHERRACES,52_OTHERRACES,99_OTHERRACES,09_OTHERRACES,51_OTHERRACES
150400,33,9,4,12,NA,40,14,28,NA,NA,53,25,6,328,47,12,25,4,2,6,NA,14,4,6,NA,NA,32,7,4,162,29,4,1,0,0,0,NA,5,0,0,NA,NA,1,1,0,12,2,0,7,6,0,8,NA,22,12,22,NA,NA,36,13,2,195,34,6,21,1,4,0,NA,4,0,2,NA,NA,8,4,4,58,0,2,3,1,0,3,NA,9,2,3,NA,NA,8,5,0,52,9,3,0,0,0,0,NA,0,0,1,NA,NA,0,2,0,5,0,0
150534,0,30,12,9,4,20,36,13,4,NA,15,36,61,331,15,53,0,3,10,1,1,6,12,4,0,NA,3,11,34,116,9,9,0,0,0,0,0,1,4,1,0,NA,0,0,1,13,1,3,0,28,12,8,3,16,26,7,4,NA,12,33,49,274,13,45,0,1,0,1,0,2,3,0,0,NA,1,0,4,15,0,2,0,0,0,0,1,1,0,4,0,NA,2,1,4,16,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
150677,0,39,7,5,0,3,21,61,10,4,1,11,106,353,11,13,0,7,7,0,0,2,13,10,7,0,0,3,49,135,3,4,0,1,0,0,0,0,0,1,0,0,0,0,4,11,0,0,0,33,7,5,0,3,17,49,7,4,0,11,80,284,10,9,0,0,0,0,0,0,3,0,0,0,0,0,8,12,0,1,0,4,0,0,0,0,0,9,1,0,0,0,11,32,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,2
150756,5,14,7,8,NA,17,27,19,NA,NA,13,4,39,200,19,NA,5,2,6,1,NA,5,12,4,NA,NA,4,0,32,97,13,NA,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,NA,4,13,5,8,NA,14,24,17,NA,NA,11,3,37,172,13,NA,0,0,1,0,NA,0,1,0,NA,NA,1,0,0,5,1,NA,0,0,1,0,NA,1,2,0,NA,NA,0,1,0,10,2,NA,1,1,0,0,NA,0,0,0,NA,NA,1,0,1,5,1,NA
150941,3,19,NA,1,NA,5,7,10,NA,8,4,39,22,202,3,30,2,3,NA,0,NA,1,1,1,NA,0,2,20,12,68,1,1,0,0,NA,0,NA,1,0,1,NA,0,0,1,0,7,0,1,3,18,NA,1,NA,4,3,8,NA,8,4,33,16,171,3,26,0,0,NA,0,NA,0,1,0,NA,0,0,0,4,7,0,2,0,0,NA,0,NA,0,1,1,NA,0,0,2,1,7,0,1,0,0,NA,0,NA,0,0,0,NA,0,0,1,0,1,0,0
151102,56,114,69,23,86,57,NA,62,7,31,30,97,204,993,21,18,52,14,58,6,46,18,NA,14,2,4,11,41,123,493,8,2,4,5,6,2,3,6,NA,4,2,4,0,4,12,60,2,1,41,95,49,16,60,39,NA,44,3,20,22,72,158,734,12,14,1,0,3,0,1,3,NA,2,1,0,0,1,1,16,1,0,6,12,7,2,14,7,NA,10,1,6,5,15,26,139,4,3,0,0,0,0,0,0,NA,0,0,0,0,0,2,2,0,0
151111,261,150,270,42,192,224,84,188,115,181,90,131,568,3909,162,956,202,21,222,13,69,83,38,30,30,33,34,34,345,1544,76,132,34,9,18,1,3,30,5,9,7,6,3,6,57,275,5,71,144,113,169,31,124,119,57,116,71,107,48,98,366,2498,116,629,26,0,33,0,4,4,0,1,0,0,3,2,11,100,2,4,45,22,35,6,49,45,15,49,28,52,31,16,109,781,30,190,2,0,1,1,0,3,0,0,0,0,1,0,0,16,0,5
151263,5,24,9,7,24,23,76,76,27,23,13,22,200,755,20,154,4,5,7,1,11,7,41,15,14,2,4,8,114,272,5,10,0,1,0,0,1,1,3,0,0,2,1,0,8,27,1,7,0,19,5,5,12,15,54,47,18,12,8,12,83,441,12,104,4,0,1,0,0,0,6,2,0,0,0,0,80,100,1,2,0,3,1,0,8,6,11,25,8,7,4,7,22,145,3,32,1,0,1,0,2,0,0,0,0,1,0,1,6,20,2,4
151290,20,0,47,NA,0,6,3,14,19,0,NA,NA,40,173,1,15,15,0,37,NA,0,0,2,5,6,0,NA,NA,25,94,1,2,0,0,1,NA,0,0,0,0,0,0,NA,NA,0,2,0,1,14,0,38,NA,0,4,2,7,14,0,NA,NA,19,109,1,7,2,0,2,NA,0,0,0,1,1,0,NA,NA,6,12,0,0,4,0,5,NA,0,2,1,4,3,0,NA,NA,11,39,0,5,0,0,1,NA,0,0,0,1,0,0,NA,NA,1,4,0,1
151306,47,63,70,23,57,46,79,81,29,51,46,39,219,1251,40,288,43,3,58,5,24,19,40,11,7,7,22,11,122,450,13,27,0,0,0,0,0,3,2,2,0,0,0,1,8,21,1,4,41,61,56,21,47,36,68,68,20,45,38,31,197,1079,37,249,0,0,8,0,1,5,1,0,0,0,1,0,1,24,0,4,3,1,4,1,7,2,6,9,5,3,4,4,8,82,1,22,1,0,0,0,0,0,0,0,0,1,0,0,2,6,1,1
151324,35,129,5,9,55,25,62,124,21,14,122,29,327,1507,31,268,28,33,3,1,22,6,34,26,15,1,45,8,194,621,14,28,2,1,0,0,2,1,2,2,0,0,0,0,3,25,0,9,25,114,4,5,34,21,32,83,16,8,81,24,256,1100,19,181,2,1,0,0,0,0,2,1,0,0,0,0,5,21,0,1,5,8,0,3,16,2,22,31,4,5,35,3,52,293,10,64,0,0,0,0,0,0,0,0,0,0,0,1,3,9,0,3
151333,22,45,NA,3,56,8,11,33,27,1,7,9,117,544,17,155,20,10,NA,0,17,3,10,4,8,0,1,2,69,191,6,23,0,0,NA,0,0,0,0,0,0,0,0,0,4,6,0,2,17,36,NA,3,52,5,9,27,23,1,7,8,92,442,13,123,0,0,NA,0,0,1,0,1,0,0,0,0,2,7,0,3,4,9,NA,0,3,1,2,5,3,0,0,1,11,66,3,18,0,0,NA,0,0,0,0,0,0,0,0,0,1,3,0,2
151342,27,49,NA,5,43,23,NA,31,21,47,8,28,169,663,26,161,23,12,NA,1,12,7,NA,6,8,4,3,9,91,225,13,27,4,0,NA,0,0,1,NA,0,0,0,0,0,6,17,0,6,18,40,NA,4,31,15,NA,20,12,30,4,18,116,443,15,107,0,0,NA,0,0,0,NA,0,0,0,1,0,2,6,1,2,3,7,NA,1,10,4,NA,11,7,14,2,9,33,156,8,37,0,1,NA,0,0,0,NA,0,0,0,0,0,2,4,0,1
151351,443,266,34,49,196,658,496,362,85,379,325,349,2444,7340,453,264,353,57,27,16,108,206,271,78,26,229,135,147,1626,3713,156,34,45,9,3,1,7,92,12,22,3,19,13,29,383,679,10,13,298,217,25,43,124,418,392,244,56,275,212,234,1590,5092,354,197,34,0,3,0,11,7,5,20,1,22,22,13,160,329,16,0,43,33,1,4,44,96,61,55,20,48,56,45,186,842,57,40,2,0,0,0,3,2,0,0,0,0,4,3,15,34,0,0
151360,9,21,NA,6,65,14,NA,51,24,26,10,7,74,464,9,135,4,4,NA,2,15,6,NA,9,9,2,4,2,39,113,2,11,0,0,NA,0,0,4,NA,6,0,0,1,0,5,18,0,2,4,15,NA,4,31,7,NA,22,10,2,3,3,45,232,5,72,0,0,NA,0,0,0,NA,0,0,0,0,0,0,1,0,1,5,4,NA,2,30,2,NA,22,12,21,6,3,21,192,4,56,0,0,NA,0,0,0,NA,1,0,0,0,0,0,1,0,0
151379,32,65,NA,5,74,41,NA,70,22,NA,21,21,158,642,22,68,27,11,NA,2,25,12,NA,14,12,NA,8,10,85,236,3,4,2,1,NA,0,0,2,NA,3,0,NA,0,0,2,11,0,0,26,57,NA,4,55,28,NA,56,18,NA,17,18,130,515,20,53,1,0,NA,0,0,0,NA,1,0,NA,0,0,0,2,0,0,3,3,NA,0,12,6,NA,7,3,NA,1,2,20,75,1,11,0,0,NA,0,1,0,NA,0,0,NA,1,1,1,5,0,0
151388,6,29,NA,18,43,23,NA,115,49,8,12,7,132,627,34,81,5,4,NA,3,10,7,NA,19,14,1,4,2,59,189,6,13,0,0,NA,0,0,0,NA,3,0,0,1,0,5,18,0,2,6,27,NA,10,32,19,NA,89,34,8,9,6,103,482,28,69,0,0,NA,1,0,0,NA,2,0,0,0,0,7,14,0,1,0,1,NA,3,7,2,NA,13,10,0,2,1,4,60,3,6,0,0,NA,2,0,0,NA,3,1,0,0,0,4,14,0,1
151777,0,22,5,3,NA,2,36,13,0,7,10,10,30,186,3,28,0,9,4,3,NA,1,25,4,0,1,3,5,19,88,2,6,0,0,0,0,NA,0,0,0,0,0,0,0,0,3,0,3,0,18,3,3,NA,0,25,10,0,5,7,6,23,128,2,12,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,NA,1,7,3,0,2,3,1,5,29,1,1,0,1,0,0,NA,1,3,0,0,0,0,1,0,18,0,11
151786,2,23,5,7,2,31,38,16,NA,10,9,5,87,583,9,296,2,4,5,2,0,7,18,3,NA,1,5,3,53,177,3,43,0,0,0,0,0,2,0,0,NA,0,0,0,2,22,0,17,2,22,5,6,1,19,26,11,NA,3,7,1,54,376,4,182,0,0,0,0,0,0,1,1,NA,1,0,0,6,14,0,2,0,1,0,1,1,9,7,2,NA,6,1,4,21,128,5,65,0,0,0,0,0,1,1,0,NA,0,0,0,1,16,0,13
151801,8,60,NA,7,19,31,10,35,13,33,7,17,72,461,5,107,4,11,NA,1,11,11,7,9,7,4,5,4,51,152,0,12,0,0,NA,0,1,1,0,2,0,2,1,0,2,14,0,2,7,56,NA,7,10,28,8,28,10,25,6,16,62,391,4,97,0,0,NA,0,0,0,1,0,0,0,0,0,3,5,0,0,0,2,NA,0,7,0,1,3,2,6,0,0,5,36,1,6,0,1,NA,0,0,1,0,1,0,0,0,0,0,5,0,1
152080,179,0,331,37,29,303,NA,66,NA,0,330,55,585,2357,NA,62,115,0,209,8,12,104,NA,7,NA,0,156,19,365,1201,NA,24,23,0,20,2,3,32,NA,1,NA,0,9,1,40,156,NA,3,109,0,230,30,22,209,NA,44,NA,0,211,32,411,1617,NA,40,7,0,10,0,0,5,NA,4,NA,0,22,1,35,96,NA,1,27,0,52,5,2,45,NA,11,NA,0,65,9,72,339,NA,9,4,0,7,0,0,4,NA,2,NA,0,5,5,4,40,NA,3
152318,97,NA,308,NA,NA,6,NA,NA,NA,NA,1,NA,NA,428,NA,NA,80,NA,224,NA,NA,3,NA,NA,NA,NA,0,NA,NA,318,NA,NA,13,NA,22,NA,NA,1,NA,NA,NA,NA,0,NA,NA,38,NA,NA,52,NA,225,NA,NA,3,NA,NA,NA,NA,0,NA,NA,291,NA,NA,17,NA,14,NA,NA,1,NA,NA,NA,NA,0,NA,NA,34,NA,NA,7,NA,28,NA,NA,1,NA,NA,NA,NA,1,NA,NA,37,NA,NA,0,NA,4,NA,NA,0,NA,NA,NA,NA,0,NA,NA,4,NA,NA
152336,4,21,NA,1,5,25,2,19,7,5,NA,41,42,333,1,150,4,5,NA,0,3,6,2,6,4,1,NA,15,33,108,0,25,0,0,NA,0,0,0,0,0,0,0,NA,0,0,2,0,1,2,18,NA,1,3,15,1,14,4,2,NA,33,31,220,1,88,0,0,NA,0,1,0,1,0,0,0,NA,1,6,11,0,2,2,2,NA,0,1,5,0,4,3,2,NA,6,5,46,0,15,0,0,NA,0,0,1,0,0,0,0,NA,0,0,43,0,42
152381,1,29,NA,7,3,2,40,12,NA,10,14,8,27,191,NA,31,1,0,NA,0,0,0,29,1,NA,1,4,4,9,53,NA,3,0,0,NA,0,0,0,0,0,NA,0,0,1,0,3,NA,2,0,29,NA,5,3,1,11,9,NA,9,13,5,22,139,NA,25,0,0,NA,0,0,0,1,0,NA,1,0,0,0,2,NA,0,1,0,NA,1,0,1,26,0,NA,0,1,2,4,40,NA,4,0,0,NA,1,0,0,1,1,NA,0,0,0,0,3,NA,0
152390,NA,18,NA,8,0,32,NA,20,NA,7,12,13,43,298,18,70,NA,0,NA,0,0,0,NA,0,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA,0,0,0,0,1,0,1,NA,16,NA,8,0,24,NA,15,NA,7,10,11,37,245,14,56,NA,0,NA,0,0,0,NA,0,NA,0,0,0,0,1,1,0,NA,1,NA,0,0,7,NA,5,NA,0,2,1,4,39,2,9,NA,0,NA,0,0,0,NA,0,NA,0,0,0,1,2,0,1
152530,16,67,10,14,NA,53,7,26,NA,14,19,39,47,393,28,10,13,12,8,4,NA,22,6,2,NA,3,10,13,33,149,4,2,0,0,1,0,NA,2,0,1,NA,0,0,1,1,9,2,0,16,55,9,11,NA,37,6,18,NA,11,15,36,41,324,23,9,0,3,0,2,NA,5,0,3,NA,2,2,0,2,19,0,0,0,4,0,1,NA,9,0,4,NA,1,1,2,1,31,3,1,0,0,0,0,NA,0,0,0,NA,0,1,0,0,1,0,0
152567,9,28,155,5,7,34,78,24,36,NA,NA,NA,56,483,7,0,9,6,128,0,3,7,46,6,14,NA,NA,NA,38,294,4,0,0,0,2,0,0,0,1,0,1,NA,NA,NA,0,5,0,0,8,26,143,5,6,30,69,20,32,NA,NA,NA,48,433,5,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,3,5,1,0,0,2,5,0,1,2,4,2,3,NA,NA,NA,4,23,0,0,0,0,5,0,0,0,0,0,0,NA,NA,NA,1,8,0,0
152600,13,26,89,5,0,30,9,31,NA,9,33,10,68,573,26,160,10,7,63,3,0,11,8,3,NA,0,10,2,39,226,9,24,0,0,4,0,0,0,0,0,NA,0,1,0,0,16,0,8,6,21,68,4,0,24,6,23,NA,5,21,6,54,436,25,120,1,0,7,0,0,0,0,0,NA,0,0,0,3,17,0,5,6,5,7,1,0,3,1,6,NA,2,9,2,9,78,1,22,0,0,2,0,0,2,1,1,NA,0,0,0,0,8,0,0
152637,NA,22,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,176,NA,48,NA,2,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,78,NA,3,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,0,NA,19,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,133,NA,37,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,0,NA,3,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,35,NA,10,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0
153001,7,134,NA,1,2,10,10,25,7,50,4,7,103,409,9,7,5,22,NA,0,1,5,6,6,2,5,2,2,37,119,6,1,0,0,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,7,114,NA,1,2,7,9,17,6,39,4,7,77,333,6,7,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,0,15,NA,0,0,2,0,7,1,8,0,0,15,53,2,0,0,2,NA,0,0,0,1,1,0,2,0,0,6,12,0,0
153108,12,21,8,4,NA,55,NA,17,NA,NA,22,12,51,237,16,NA,10,1,6,1,NA,23,NA,5,NA,NA,11,6,38,117,6,NA,1,1,1,0,NA,0,NA,0,NA,NA,0,1,0,5,0,NA,9,20,6,4,NA,48,NA,16,NA,NA,18,11,45,208,13,NA,0,0,0,0,NA,0,NA,0,NA,NA,0,0,1,1,0,NA,1,0,0,0,NA,4,NA,0,NA,NA,4,0,2,13,2,NA,0,0,0,0,NA,2,NA,1,NA,NA,0,0,1,5,1,NA
153144,3,12,NA,7,NA,35,17,18,6,NA,14,15,66,253,8,19,3,0,NA,2,NA,11,13,2,1,NA,7,7,41,117,6,4,0,0,NA,0,NA,1,1,1,0,NA,0,0,2,8,0,3,2,10,NA,5,NA,25,12,12,4,NA,8,14,44,177,4,14,0,0,NA,0,NA,1,0,2,0,NA,0,0,5,9,0,0,1,0,NA,0,NA,5,1,3,2,NA,3,1,8,34,3,2,0,1,NA,2,NA,2,1,0,0,NA,3,0,6,17,1,0
153162,10,10,11,12,0,32,22,23,NA,NA,17,13,28,210,NA,NA,9,1,7,3,0,18,14,6,NA,NA,8,2,17,102,NA,NA,0,0,0,1,0,0,1,1,NA,NA,1,0,1,6,NA,NA,6,9,10,8,0,23,14,16,NA,NA,13,11,23,157,NA,NA,1,0,0,0,0,0,0,0,NA,NA,0,0,1,2,NA,NA,2,1,1,1,0,8,5,5,NA,NA,2,2,3,36,NA,NA,0,0,0,1,0,0,1,1,NA,NA,1,0,0,5,NA,NA
153250,7,36,34,5,3,15,15,9,3,25,2,10,64,309,9,20,4,6,29,0,1,6,7,3,2,4,2,1,43,149,3,6,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,5,33,25,5,3,12,11,8,3,22,1,8,48,253,8,17,1,1,6,0,0,1,2,0,0,2,0,1,13,33,1,2,0,1,1,0,0,0,1,1,0,1,1,1,0,8,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,6,0,0
153269,46,61,NA,22,3,38,8,35,NA,NA,42,55,154,708,54,60,29,17,NA,4,2,13,4,6,NA,NA,17,18,88,276,17,10,7,0,NA,0,0,3,0,3,NA,NA,0,4,7,39,3,7,30,52,NA,16,3,29,5,24,NA,NA,28,41,111,521,43,40,2,0,NA,1,0,1,0,2,NA,NA,2,0,11,27,2,1,5,7,NA,2,0,2,3,4,NA,NA,11,7,15,84,5,8,1,0,NA,0,0,1,0,0,NA,NA,0,0,1,4,0,1
153278,9,24,NA,0,3,8,37,12,24,NA,4,1,90,325,11,29,7,4,NA,0,0,2,29,3,15,NA,4,0,39,181,4,7,0,0,NA,0,0,0,0,1,0,NA,0,0,0,2,0,0,6,18,NA,0,3,7,26,7,15,NA,1,1,74,239,8,23,0,0,NA,0,0,0,0,0,0,NA,0,0,0,10,1,0,2,3,NA,0,0,1,7,3,9,NA,1,0,11,48,1,3,1,2,NA,0,0,0,3,0,0,NA,1,0,5,16,1,1
153366,6,16,NA,2,11,4,8,9,10,NA,2,10,31,192,2,74,6,2,NA,0,6,2,4,4,5,NA,1,5,20,74,1,13,0,0,NA,0,0,0,1,0,0,NA,0,1,0,3,0,1,4,13,NA,2,6,4,2,3,1,NA,1,5,13,104,2,42,1,0,NA,0,2,0,0,0,1,NA,0,1,6,13,0,2,1,1,NA,0,2,0,4,2,6,NA,0,2,8,40,0,14,0,1,NA,0,1,0,0,3,1,NA,1,0,2,18,0,8
153375,3,16,NA,3,23,19,47,34,15,19,NA,12,83,350,10,48,2,1,NA,0,13,9,29,10,9,3,NA,5,51,153,4,8,1,0,NA,0,0,0,1,1,1,0,NA,1,6,11,0,0,2,11,NA,2,14,13,26,22,8,12,NA,10,52,222,6,35,0,0,NA,0,0,1,1,1,0,0,NA,0,4,10,1,0,0,2,NA,1,7,3,13,3,5,5,NA,0,17,69,2,8,0,2,NA,0,1,2,5,4,0,0,NA,0,3,25,1,3
153384,53,NA,NA,16,NA,62,NA,36,NA,NA,100,13,NA,383,NA,NA,39,NA,NA,4,NA,21,NA,12,NA,NA,51,3,NA,192,NA,NA,8,NA,NA,2,NA,7,NA,1,NA,NA,6,0,NA,27,NA,NA,21,NA,NA,9,NA,39,NA,18,NA,NA,59,9,NA,218,NA,NA,17,NA,NA,1,NA,5,NA,8,NA,NA,13,1,NA,62,NA,NA,4,NA,NA,4,NA,5,NA,4,NA,NA,15,2,NA,46,NA,NA,1,NA,NA,0,NA,3,NA,2,NA,NA,3,1,NA,15,NA,NA
153603,264,213,1234,64,76,354,234,204,98,8,100,267,994,5797,180,85,228,25,1014,15,39,132,89,53,46,2,62,91,619,3140,57,14,35,5,76,0,1,17,9,4,2,0,4,8,29,236,5,5,157,179,904,54,54,256,175,151,73,8,73,197,794,4396,149,60,29,0,57,0,6,4,2,5,1,0,2,7,24,177,2,2,12,11,56,1,10,28,19,19,10,0,6,13,48,306,4,6,14,14,90,6,2,31,12,14,5,0,7,25,65,417,12,5
153658,102,153,392,162,200,241,501,0,NA,40,323,239,1199,5006,226,451,80,28,286,50,72,98,198,0,NA,3,170,78,760,2212,62,35,14,4,25,1,12,24,25,0,NA,0,13,20,49,255,6,19,66,128,284,118,142,168,386,0,NA,27,227,175,939,3752,185,359,6,0,9,3,6,7,5,0,NA,0,13,3,28,105,2,3,10,10,46,21,33,25,57,0,NA,10,44,27,106,556,19,46,1,7,19,7,2,6,20,0,NA,1,11,5,40,165,7,12
153825,7,10,12,6,0,17,35,18,6,16,12,1,46,226,13,NA,5,1,12,2,0,3,24,6,2,2,7,0,38,128,10,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,4,10,9,5,0,14,25,15,3,13,7,1,37,172,9,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,0,2,1,0,2,7,3,3,3,2,0,4,35,3,NA,1,0,1,0,0,1,1,0,0,0,2,0,4,15,1,NA
153834,16,14,NA,10,NA,33,11,10,NA,11,21,41,39,343,8,60,15,1,NA,3,NA,8,11,5,NA,2,15,18,28,150,4,9,2,0,NA,0,NA,0,0,0,NA,1,0,1,0,5,0,0,7,14,NA,10,NA,30,7,8,NA,6,11,35,24,278,8,55,5,0,NA,0,NA,2,0,0,NA,0,4,4,4,22,0,1,0,0,NA,0,NA,1,4,1,NA,4,5,0,8,27,0,2,1,0,NA,0,NA,0,0,1,NA,0,0,0,3,7,0,1
153861,5,NA,NA,0,33,NA,NA,NA,NA,NA,NA,15,97,195,NA,36,3,NA,NA,0,9,NA,NA,NA,NA,NA,NA,5,16,42,NA,5,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,2,0,5,NA,3,0,NA,NA,0,24,NA,NA,NA,NA,NA,NA,8,2,59,NA,19,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,1,0,5,NA,2,5,NA,NA,0,3,NA,NA,NA,NA,NA,NA,4,0,21,NA,7,0,NA,NA,0,4,NA,NA,NA,NA,NA,NA,0,95,101,NA,2
154004,5,68,NA,3,NA,26,NA,20,4,NA,5,4,72,258,4,30,5,16,NA,0,NA,9,NA,9,3,NA,3,2,51,114,3,2,0,1,NA,0,NA,2,NA,0,0,NA,0,0,1,5,0,1,4,59,NA,3,NA,16,NA,10,1,NA,3,0,35,167,1,23,0,0,NA,0,NA,3,NA,0,0,NA,1,0,17,24,0,0,1,6,NA,0,NA,1,NA,4,2,NA,1,1,9,29,1,3,0,2,NA,0,NA,3,NA,3,0,NA,0,3,6,21,1,1
154013,3,40,NA,0,13,6,8,17,14,7,3,8,96,310,2,88,2,8,NA,0,4,2,4,5,7,2,1,1,55,100,0,6,0,0,NA,0,0,1,1,0,0,0,0,0,3,7,0,2,3,37,NA,0,7,3,5,8,8,4,1,8,69,228,1,71,0,0,NA,0,0,0,1,1,1,0,0,0,12,15,0,0,0,2,NA,0,1,0,0,1,1,2,1,0,5,17,1,2,0,1,NA,0,2,0,0,2,0,0,1,0,1,9,0,1
154022,201,616,72,14,59,NA,17,439,330,3,110,NA,2497,5237,42,564,151,63,56,4,19,NA,16,100,194,1,31,NA,1298,2074,20,83,12,5,8,0,1,NA,0,9,3,0,1,NA,86,147,0,21,75,265,33,9,27,NA,6,189,141,1,32,NA,1160,2266,15,194,2,1,0,0,0,NA,0,0,2,0,2,NA,2,9,0,0,93,304,28,5,28,NA,10,202,157,2,60,NA,1033,2379,26,307,8,31,3,0,2,NA,1,18,17,0,4,NA,104,220,0,26
154095,30,536,NA,17,59,80,63,92,19,87,84,76,389,1909,91,99,27,96,NA,0,20,25,28,6,9,9,40,20,249,662,35,9,1,5,NA,0,0,2,0,3,0,1,1,0,3,20,1,0,22,481,NA,16,51,69,52,79,14,65,59,65,351,1640,76,89,3,1,NA,0,0,0,1,0,0,0,2,1,5,19,0,0,1,42,NA,1,5,5,6,8,4,13,17,7,19,163,11,6,2,5,NA,0,1,2,1,1,1,2,1,1,5,30,1,2
154101,3,49,4,0,3,19,23,10,6,8,0,7,60,246,7,31,3,18,4,0,0,7,14,2,4,1,0,2,43,115,2,5,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,3,45,2,0,3,16,18,8,4,8,0,6,50,209,6,28,0,1,1,0,0,1,2,0,0,0,0,0,5,10,0,0,0,0,1,0,0,2,2,2,0,0,0,1,3,17,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
154174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
154235,18,41,13,6,NA,32,73,52,24,17,10,14,125,547,8,95,15,5,10,1,NA,6,40,7,17,1,6,3,79,205,4,3,0,1,1,1,NA,3,0,1,0,0,0,0,2,11,0,2,7,35,10,3,NA,24,59,46,18,10,6,12,96,423,7,76,1,1,1,0,NA,0,1,1,0,0,0,0,1,7,1,0,6,3,1,2,NA,4,9,2,2,3,2,1,20,70,0,11,2,0,0,0,NA,0,2,0,2,1,1,0,2,16,0,5
154350,20,23,2,4,0,15,17,11,14,7,15,5,46,247,19,24,16,4,2,1,0,4,11,1,8,1,9,1,24,112,10,10,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,13,21,1,4,0,13,12,8,8,7,15,3,37,201,16,21,1,0,0,0,0,1,1,1,1,0,0,0,0,6,0,1,3,2,0,0,0,0,1,2,2,0,0,1,4,21,3,1,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0
